date,tests,confirmed,probable,total,hospitalized,recovered,deaths
27/02/20,,,,0,,,0
28/02/20,,,,1,,,0
29/02/20,,,,0,,,0
01/03/20,,,,0,,,0
02/03/20,,,,0,,,0
03/03/20,,,,0,,,0
04/03/20,,,,2,,,0
05/03/20,,,,0,,,0
06/03/20,,,,1,,,0
07/03/20,,,,0,,,0
08/03/20,,,,0,,,0
09/03/20,12,,,0,,,0
10/03/20,89,,,0,,,0
11/03/20,83,,,1,,,0
12/03/20,31,,,0,,,0
13/03/20,35,,,0,,,0
14/03/20,34,,,1,,,0
15/03/20,142,,,0,,,0
16/03/20,325,,,2,,,0
17/03/20,659,,,4,,,0
18/03/20,1209,,,8,,,0
19/03/20,1291,,,8,,,0
20/03/20,1554,,,11,,,0
21/03/20,1176,,,13,,,0
22/03/20,1256,,,14,,,0
23/03/20,1050,,,36,,,0
24/03/20,1544,,,53,,,0
25/03/20,2592,47,3,50,0,10,0
26/03/20,2117,73,5,78,1,5,0
27/03/20,2067,76,9,85,1,10,0
28/03/20,1809,78,5,83,4,13,0
29/03/20,918,60,3,63,-3,6,0
30/03/20,1391,76,-1,75,3,7,1
31/03/20,2093,48,10,58,2,11,0
01/04/20,2562,47,14,61,2,8,0
02/04/20,3446,76,13,89,-3,10,0
03/04/20,3631,49,22,71,0,11,0
04/04/20,3093,52,30,82,-3,24,0
05/04/20,3709,0,0,0,0,0,0
06/04/20,2908,87,69,156,3,49,0
07/04/20,4049,32,22,54,-1,65,0
08/04/20,3990,26,24,50,0,41,0
09/04/20,4520,23,6,29,2,35,0
10/04/20,3061,23,21,44,2,56,1
11/04/20,2421,20,9,29,-1,49,2
12/04/20,1660,14,4,18,-1,49,0
13/04/20,1572,15,4,19,1,75,1
14/04/20,2100,8,9,17,0,82,4
15/04/20,3661,6,14,20,-2,100,0
16/04/20,4241,6,9,15,-1,42,0
17/04/20,4677,2,6,8,2,46,2
18/04/20,4146,8,5,13,6,51,0
19/04/20,3081,4,5,9,-2,45,1
20/04/20,3203,7,2,9,-4,62,0
21/04/20,,2,3,5,-2,32,1
