ship,port,status,arrivalDate,arrivalTime,departureDate,departureTime,guestCount,crewCount
Pacific Aria,Auckland,ON SCHEDULE,06/07/2019,07:00:00,06/07/2019,16:00:00,1260,597
Pacific Aria,Auckland,ON SCHEDULE,16/07/2019,07:00:00,16/07/2019,16:00:00,1260,597
Pacific Aria,Auckland,ON SCHEDULE,24/07/2019,07:00:00,24/07/2019,16:00:00,1260,597
Pacific Aria,Auckland,ON SCHEDULE,02/08/2019,07:00:00,02/08/2019,16:00:00,1260,597
Pacific Aria,Auckland,ON SCHEDULE,05/08/2019,07:00:00,05/08/2019,16:00:00,1260,597
Sea Princess,Auckland,ON SCHEDULE,25/08/2019,10:00:00,25/08/2019,21:00:00,2016,839
Sea Princess,Bay Of Islands,ON SCHEDULE,26/08/2019,08:00:00,26/08/2019,17:00:00,2016,839
Sea Princess,Auckland,ON SCHEDULE,29/09/2019,10:00:00,29/09/2019,20:00:00,2016,839
Sea Princess,Bay Of Islands,ON SCHEDULE,30/09/2019,07:00:00,30/09/2019,16:00:00,2016,839
MS Maasdam,Fiordland,CANCELLED,30/09/2019,08:00:00,30/09/2019,17:00:00,1258,580
MS Maasdam,Dunedin,ON SCHEDULE,01/10/2019,10:00:00,01/10/2019,18:00:00,1258,580
MS Maasdam,Lyttelton,ON SCHEDULE,02/10/2019,08:00:00,02/10/2019,17:00:00,1258,580
Majestic Princess,Fiordland,ON SCHEDULE,03/10/2019,07:00:00,03/10/2019,16:00:00,3560,1357
MS Maasdam,Kaikoura,CANCELLED,03/10/2019,08:00:00,03/10/2019,17:00:00,1258,580
Majestic Princess,Dunedin,ON SCHEDULE,04/10/2019,08:00:00,04/10/2019,18:00:00,3560,1357
MS Maasdam,Wellington,ON SCHEDULE,04/10/2019,08:00:00,04/10/2019,17:00:00,1258,580
Majestic Princess,Akaroa,ON SCHEDULE,05/10/2019,08:00:00,05/10/2019,18:00:00,3560,1357
MS Maasdam,Napier,CANCELLED,05/10/2019,08:00:00,05/10/2019,14:00:00,1258,580
