Year,Sex,Name,Count
1997,F,Aaliyah,10
1998,F,Aaliyah,22
1999,F,Aaliyah,24
2000,F,Aaliyah,26
2001,F,Aaliyah,54
2002,F,Aaliyah,81
2003,F,Aaliyah,60
2004,F,Aaliyah,37
2005,F,Aaliyah,66
2006,F,Aaliyah,70
2007,F,Aaliyah,61
2008,F,Aaliyah,73
2009,F,Aaliyah,63
2010,F,Aaliyah,73
2011,F,Aaliyah,62
2012,F,Aaliyah,71
2013,F,Aaliyah,67
2014,F,Aaliyah,75
2015,F,Aaliyah,56
2016,F,Aaliyah,71
2017,F,Aaliyah,56
2015,F,Aarohi,10
1977,F,Abbey,10
1980,F,Abbey,15
1981,F,Abbey,13
1982,F,Abbey,15
1983,F,Abbey,20
1984,F,Abbey,12
1985,F,Abbey,13
1986,F,Abbey,10
1987,F,Abbey,21
1988,F,Abbey,21
1989,F,Abbey,16
1990,F,Abbey,30
1991,F,Abbey,24
1992,F,Abbey,31
1993,F,Abbey,18
1994,F,Abbey,31
1995,F,Abbey,39
1996,F,Abbey,22
1997,F,Abbey,38
1998,F,Abbey,38
1999,F,Abbey,42
2000,F,Abbey,32
2001,F,Abbey,40
2002,F,Abbey,29
2003,F,Abbey,41
2004,F,Abbey,27
2005,F,Abbey,28
2006,F,Abbey,22
2007,F,Abbey,22
2009,F,Abbey,14
2010,F,Abbey,17
2011,F,Abbey,15
2012,F,Abbey,13
1977,F,Abbie,14
1978,F,Abbie,11
1979,F,Abbie,16
1980,F,Abbie,10
1981,F,Abbie,13
1982,F,Abbie,14
1984,F,Abbie,11
1985,F,Abbie,13
1986,F,Abbie,10
1988,F,Abbie,17
1989,F,Abbie,11
1990,F,Abbie,11
1992,F,Abbie,10
1996,F,Abbie,11
2001,F,Abbie,12
2002,F,Abbie,18
2003,F,Abbie,24
2004,F,Abbie,13
2005,F,Abbie,20
2006,F,Abbie,19
2007,F,Abbie,20
2008,F,Abbie,28
2009,F,Abbie,11
2011,F,Abbie,15
2012,F,Abbie,12
2013,F,Abbie,15
2016,F,Abbie,10
1976,F,Abby,10
1977,F,Abby,31
1978,F,Abby,16
1979,F,Abby,25
1980,F,Abby,36
1981,F,Abby,40
1982,F,Abby,34
1983,F,Abby,36
1984,F,Abby,31
1985,F,Abby,22
1986,F,Abby,35
1987,F,Abby,41
1988,F,Abby,39
1989,F,Abby,23
1990,F,Abby,42
1991,F,Abby,38
1992,F,Abby,48
1993,F,Abby,29
1994,F,Abby,31
1995,F,Abby,36
1996,F,Abby,33
1997,F,Abby,32
1998,F,Abby,25
1999,F,Abby,44
2000,F,Abby,39
2001,F,Abby,65
2002,F,Abby,51
2003,F,Abby,61
2004,F,Abby,55
2005,F,Abby,59
2006,F,Abby,55
2007,F,Abby,54
2008,F,Abby,54
2009,F,Abby,49
2010,F,Abby,38
2011,F,Abby,35
2012,F,Abby,23
2013,F,Abby,19
2014,F,Abby,12
2015,F,Abby,18
2016,F,Abby,14
2017,F,Abby,14
1972,F,Abigail,10
1976,F,Abigail,10
1977,F,Abigail,19
1978,F,Abigail,19
1979,F,Abigail,21
1980,F,Abigail,21
1981,F,Abigail,21
1982,F,Abigail,19
1983,F,Abigail,24
1984,F,Abigail,23
1985,F,Abigail,32
1986,F,Abigail,43
1987,F,Abigail,33
1988,F,Abigail,35
1989,F,Abigail,33
1990,F,Abigail,46
1991,F,Abigail,51
1992,F,Abigail,52
1993,F,Abigail,48
1994,F,Abigail,51
1995,F,Abigail,58
1996,F,Abigail,61
1997,F,Abigail,68
1998,F,Abigail,81
1999,F,Abigail,80
2000,F,Abigail,63
2001,F,Abigail,65
2002,F,Abigail,88
2003,F,Abigail,87
2004,F,Abigail,81
2005,F,Abigail,75
2006,F,Abigail,82
2007,F,Abigail,103
2008,F,Abigail,83
2009,F,Abigail,89
2010,F,Abigail,114
2011,F,Abigail,97
2012,F,Abigail,94
2013,F,Abigail,79
2014,F,Abigail,99
2015,F,Abigail,98
2016,F,Abigail,72
2017,F,Abigail,74
1998,F,Acacia,10
2003,F,Acacia,10
2004,F,Acacia,19
2005,F,Acacia,16
2006,F,Acacia,12
2007,F,Acacia,19
2008,F,Acacia,20
2009,F,Acacia,13
2010,F,Acacia,18
2011,F,Acacia,12
2016,F,Acacia,10
2017,F,Acacia,10
1900,F,Ada,67
1901,F,Ada,59
1902,F,Ada,64
1903,F,Ada,79
1904,F,Ada,73
1905,F,Ada,73
1906,F,Ada,63
1907,F,Ada,68
1908,F,Ada,67
1909,F,Ada,47
1910,F,Ada,57
1911,F,Ada,52
1912,F,Ada,57
1913,F,Ada,44
1914,F,Ada,46
1915,F,Ada,51
1916,F,Ada,53
1917,F,Ada,43
1918,F,Ada,42
1919,F,Ada,34
1920,F,Ada,39
1921,F,Ada,31
1922,F,Ada,27
1923,F,Ada,33
1924,F,Ada,20
1925,F,Ada,23
1926,F,Ada,23
1927,F,Ada,22
1929,F,Ada,10
1930,F,Ada,19
1931,F,Ada,15
1932,F,Ada,12
1935,F,Ada,12
1936,F,Ada,12
1937,F,Ada,16
1938,F,Ada,12
1939,F,Ada,12
1940,F,Ada,10
1941,F,Ada,11
2009,F,Ada,10
2011,F,Ada,19
2012,F,Ada,13
2013,F,Ada,19
2014,F,Ada,23
2015,F,Ada,29
2016,F,Ada,25
2017,F,Ada,30
2017,F,Adaline,10
2015,F,Adalyn,12
2006,F,Addison,15
2007,F,Addison,44
2008,F,Addison,43
2009,F,Addison,71
2010,F,Addison,76
2011,F,Addison,80
2012,F,Addison,71
2013,F,Addison,63
2014,F,Addison,55
2015,F,Addison,59
2016,F,Addison,42
2017,F,Addison,68
2014,F,Addisyn,10
1900,F,Adelaide,10
1901,F,Adelaide,13
1902,F,Adelaide,16
1904,F,Adelaide,13
1905,F,Adelaide,22
1908,F,Adelaide,10
1909,F,Adelaide,11
1910,F,Adelaide,16
1911,F,Adelaide,12
1912,F,Adelaide,13
1913,F,Adelaide,13
1918,F,Adelaide,10
2009,F,Adelaide,10
2011,F,Adelaide,16
2012,F,Adelaide,10
2013,F,Adelaide,12
2014,F,Adelaide,12
2015,F,Adelaide,13
2017,F,Adelaide,11
1938,F,Adele,21
1939,F,Adele,15
1940,F,Adele,21
1941,F,Adele,12
1944,F,Adele,14
1946,F,Adele,17
1947,F,Adele,16
1948,F,Adele,15
1949,F,Adele,16
1950,F,Adele,12
1951,F,Adele,31
