Clusters under investigation,Location,Total to date,New in last 24 hours
Marist College,Auckland,48,1
World Hereford Conference,Queenstown,24,5
A bar,Matamata,23,11
Group travel to US,Wellington,16,-1*
A rest home,Hamilton,14,2
A private wedding,Wellington,11,-1*
A sport team's US visit,Blenheim,9,6
A business,Christchurch,8,1
A private wedding,Bluff,8,3
A local organisation,Marlborough,6,1
Hutt City cluster 2,Hutt City,4,0
Auckland cluster 1,Auckland,4,0
Local business,Auckland,4,1
Hutt City cluster 1,Hutt City,3,0
