Clusters under investigation,Location,Total to date,New cases in last 24 hours,Origin
Wedding,Bluff,96,0,Overseas exposure
Marist College,Auckland,93,0,Unknown
Hospitality venue,Matamata,76,0,Overseas exposure
Aged residential care facility (1),Christchurch,43,0,Unknown
World Hereford Conference,Queenstown,39,0,Overseas exposure
Private function,Auckland,38,0,Unknown
Community,Auckland,30,0,Unknown
Aged residential care facility (1),Auckland,25,1,Unknown
Ruby Princess cruise ship,Hawke’s Bay,22,0,Overseas exposure
Aged residential care facility (2),Christchurch,20,0,Unknown
Group travel to US,Wellington,16,0,Overseas exposure
Group travel to US,Auckland,16,0,Overseas exposure
Aged residential care facility ,Waikato,14,0,Overseas exposure
Aged residential care facility (2),Auckland,14,0,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
Workplace,Christchurch,10,0,Overseas exposure
