Cluster under investigation,Location,Total to date,New cases in last 24 hours,Recovered to date,Origin
Wedding,Bluff,98,0,62,Overseas exposure
Marist College,Auckland,93,0,83,Unknown
Hospitality Venue,Matamata,76,0,46,Overseas exposure
Aged residential care facility (1),Christchurch,50,0,11,Unknown
World Hereford Conference,Queenstown,40,0,39,Overseas exposure
Private Function,Auckland,39,0,34,Unknown
Community,Auckland,30,0,13,Unknown
Aged residential care facility (1),Auckland,28,1,7,Unknown
Ruby Princess Cruise Ship Cluster,Hawke’s Bay,22,0,10,Overseas exposure
Aged residential care facility (2),Christchurch,20,0,11,Unknown
Group travel to US,Wellington,16,0,12,Overseas exposure
Group travel to US,Auckland,16,0,15,Overseas exposure
Aged residential care facility,Waikato,15,0,11,Overseas exposure
Aged residential care facility (2),Auckland,13,0,5,Overseas exposure
Wedding,Wellington,13,0,11,Overseas exposure
Workplace,Christchurch,10,0,9,Overseas exposure
