Cluster under investigation,Location,Total to date,New cases in last 24 hours,Recovered to date,Origin,Transmission ongoing?*
Wedding,Bluff,98,0,76,Overseas exposure,Yes
Marist College,Auckland,94,0,85,Unknown,Yes
Hospitality Venue,Matamata,76,0,60,Overseas exposure,Yes
Aged residential care facility (1),Christchurch,54,0,18,Unknown,Yes
Private Function,Auckland,39,0,38,Unknown,Yes
World Hereford Conference,Queenstown,38,0,37,Overseas exposure,Yes
Aged residential care facility (1),Auckland,34,0,13,Unknown,Yes
Community,Auckland,30,0,21,Unknown,Yes
Ruby Princess Cruise Ship Cluster,Hawke’s Bay,23,0,14,Overseas exposure,Yes
Aged residential care facility (2),Christchurch,20,0,17,Unknown,Yes
Group travel to US,Wellington,16,0,15,Overseas exposure,Yes
Group travel to US,Auckland,16,0,14,Overseas exposure,Yes
Aged residential care facility,Waikato,15,0,10,Overseas exposure,Yes
Aged residential care facility (2),Auckland,13,0,7,Overseas exposure,Yes
Wedding,Wellington,13,0,11,Overseas exposure,Closed
Workplace,Christchurch,10,0,10,Overseas exposure,Yes
