Clusters under investigation,Location,Total to date,New cases in last 24 hours,Recovered to date,Origin,Transmission ongoing?*
Wedding,Bluff,98,0,80,Overseas exposure,Yes
Marist College,Auckland,94,0,86,Unknown,Yes
Hospitality venue,Matamata,76,0,63,Overseas exposure,Yes
Aged residential care facility (1),Christchurch,55,0,22,Unknown,Yes
Private function,Auckland,39,0,38,Unknown,Yes
World Hereford Conference,Queenstown,38,0,36,Overseas exposure,Yes
Aged residential care facility (1),Auckland,38,0,18,Unknown,Yes
Community,Auckland,30,0,23,Unknown,Yes
Ruby Princess cruise ship,Hawke’s Bay,24,0,14,Overseas exposure,Yes
Aged residential care facility (2),Christchurch,20,0,18,Unknown,Yes
Group travel to US,Wellington,16,0,16,Overseas exposure,Closed
Group travel to US,Auckland,16,0,14,Overseas exposure,Closed
Aged residential care facility,Waikato,15,0,10,Overseas exposure,Yes
Aged residential care facility (2),Auckland,13,0,7,Overseas exposure,Yes
Wedding,Wellington,13,0,12,Overseas exposure,Closed
Workplace,Christchurch,10,0,10,Overseas exposure,Yes
