Cluster under investigation,Location,Total to date,New cases in last 24 hours,Recovered to date,Origin,Status*
Wedding,Bluff,98,0,95,Overseas exposure,Open
Marist College,Auckland,96,0,96,Unknown,Open
Hospitality Venue,Matamata,77,0,76,Overseas exposure,Open
Aged residential care facility (1),Christchurch,56,0,43,Unknown,Open
Aged residential care facility (1),Auckland,51,0,35,Unknown,Open
Private Function,Auckland,40,0,40,Unknown,Open
World Hereford Conference,Queenstown,39,0,39,Overseas exposure,Open
Community,Auckland,30,0,30,Unknown,Closed
Ruby Princess Cruise Ship Cluster,Hawke’s Bay,24,0,24,Overseas exposure,Open
Aged residential care facility (2),Christchurch,19,0,19,Unknown,Open
Group travel to US,Wellington,16,0,16,Overseas exposure,Open
Group travel to US,Auckland,16,0,15,Overseas exposure,Open
Aged residential care facility,Waikato,15,0,14,Overseas exposure,Open
Community,Christchurch,14,0,14,Overseas exposure,Closed
Aged residential care facility (2),Auckland,13,0,13,Overseas exposure,Open
Wedding,Wellington,13,0,13,Overseas exposure,Open
